NRO.;NOMBRE DE LA EMPRESA;RUBRO;DIRECCION;DEPARTAMENTO ;CONTACTO;CORREO ELECTRONICO;PAGINA WEB;
426;ATENEA S.R.L.;CURSOS DE CAPACITACIÓN ( DISEÑO GRÁFICO, EDICION AUDIOVISUAL, LOCUCIÓN RADIAL, ENSAMBLAJE DE COMPUTADORAS, OPERADOR DE COMPUTADORAS);C. Loayza Nº. 255 Ed. De Ugarte Ingeniería P.B.;La Paz;No brinda información;eateneasrl@hotmail.com;No Brinda Informacion;
427;ATENEA S.R.L.;EDUCACION FORMAL y NO FORMAL (NIVELACION,IDIOMAS, MUSICA, DANZA, NATACION Y OTROS);Av.20 de Octubre Nº. 1821 Piso 1;La Paz;Fabricio Augusto Calderón R.;fcalderon@atenea.edu.bo;no brinda esta información;
428;ATENTI SOCIEDAD DE RESPONSABILIDAD LIMITADA (ATENTI S.R.L.);DISTRIBUCION, IMPORTACIÓN, VENTAS DE DIFERENTES PRODUCTOS, MATERIA PRIMA PARA DIFERENTES EMPRESAS;"Calle 29 N° 50 Edificio: ""el Lago"" Oficina: 301 Zona: Cota Cota";La Paz;No Disponible;info@atenti.co;No Disponible;
429;ATLANTA BOLIVA;ARTESANIAS (PINTURA EN TELA, EN MADERA, PORCELANA FRÍA, COTILLON, PEDRERÍA, MUÑEQUERIA);Ed.16 de Julio pianta baja Of. 6;La Paz;Eduardo Monaño Butron;atlantisbolivia@hotmail.com;www.atlantis-bolivia.com;
430;ATLANTIC GROUP VOIP MINUTES TELECOM S.A.;CORREO Y TELECOMUNICACIONES;Av. Aranjuez Nº.3 Esq. Los Cipreses;La Paz;Luis Arturo Franco;no brinda esta información;no brinda esta información;
431;ATLAS CARGO S.R.L.;"TRANSPORTE POR VÍA TERRESTRE; (CONDUCCIÓN - CHOFERES), DE CARGAS A NIVEL NACIONAL E INTERNACIONAL";C. Yanacocha N° 301 Edificio: Asbun Antiguo Piso: 5 Oficina: 8 Zona: Central;La Paz;No Disponible;No Disponible;No Disponible;
432;ATLAS TOURS (BOLIVIA) S.R.L.;"ACTIVIDADES COMPLEMENTARIAS Y AUXILIARES AL TRANSPORTE; ACTIVIDADES DE AGENCIAS DE VIAJES, GUIAS DE TURÍSMO, ADMINSITRACIÓN TURÍSTICA)";C. Mercado Nº. 1362 Galería Paladium PB. Loc. C;La Paz;Amparo Cornejo de Fernandez;No Brinda Informacion;No Brinda Informacion;
433;ATLAS TOURS BOLIVIA S.R.L.;"ACTIVIDADES COMPLEMENTARIAS Y AUXILIARES AL TRANSPORTE; ACTIVIDADES DE AGENCIAS DE VIAJES, GUIAS DE TURÍSMO, ADMINSITRACIÓN TURÍSTICA)";C. Mercado, Ed. Galería Paladium Nº. 1362 Esq. Loayza;La Paz;Maria Teresa Parsel;atlastoursbol@hotmail.com;Sitio Web No disponible;
434;ATLAS TOURS BOLIVIA S.R.L.;"TRANSPORTE POR VÍA TERRESTRE; (CONDUCCIÓN - CHOFERES), DE CARGAS A NIVEL NACIONAL E INTERNACIONAL";C. Mercado, Ed. Galeria Paladium Nº. 1362 Esq. Loayza;La Paz;Maria Teresa Parsel;atlastoursbol@hotmail.com;Sitio Web No disponible;
435;ATTOS-LUZ;VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);Av. Entre Rios C. Nueva York Z. Cementerio General Nº. 1137;La Paz;Angel Diaz;No brinda este dato;Página Web no disponible;
436;"ATYLIM (COMERCIO POR MAYOR Y POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES, MOTOCICLETAS, EFECTOS PERSONALES Y ENSERES DOMÉSTICOS)";VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);Calle Diez De Medina N° 808 Piso: 3er. Zona: Alto San Pedro;La Paz;No Disponible;milyta301@hotmail.com;No Disponible;
437;AUDICONSULT S.R.L;CONSULTORIAS PRIVADAS PÚBLICAS MULTIDICIPLINARIAS;C. Mcal. Santa Cruz Nº. 1364, Ed. La Primera Bloque B, Piso 14 Of. 7-8 Central;La Paz;Wilma Gutierrez Lanza;audiconsult2011@hotmail.com;No Brinda Informacion;
438;AUDICONSULT S. R. L.;ACTIVIDADES EMPRESARIALES, Y FINANCIERAS (MARKETIN, SECRETARIALES, DE PERSONAL, JURÍDICAS, CONTABLES, DE IMPUESTOS, GESTIÓN, ASESORAMIENTO, PUBLICIDAD);Av. Mcal. Santa Cruz Nº. 1364 Ed. La Primera Bloque B, P.14 Of. 8;La Paz;Vilma Gutierrez;wilgutlan@hotmail.com;Sitio Web No disponible;
439;AUDICONSULT SRL;CONSULTORIAS PRIVADAS PÚBLICAS MULTIDICIPLINARIAS;Z.Central,Av. Mcal. Santa Cruz # 1364 Ed. La Primera Bloque B, P14 Of. 7 - 8;La Paz;No brinda este dato;wilgutlan@hotmail.com;No brinda este dato;
440;AUDINACO S.R.L.(AUDITORES Y CONSULTORES);ACTIVIDADES EMPRESARIALES, Y FINANCIERAS (MARKETIN, SECRETARIALES, DE PERSONAL, JURÍDICAS, CONTABLES, DE IMPUESTOS, GESTIÓN, ASESORAMIENTO, PUBLICIDAD);Z. Sopocachi Av. 6 De Agosto N°. 2464 Ed. Los Jardines P. 11 Of. C;La Paz;;audinaco@entelnet.bo;No Disponible;
441;AUDIO DIGITAL;CENTRO DE AUDIO PROTESIS Y DIAGNÓSTICO;Av. 16 de Julio Nº 1479, Ed. San Pablo P. 1 Of. 102;La Paz;Zulma Machicado;audio2@ceibo.entelnet.bo;www.audiodigital.com.bo;
442;AUDIO DIGITAL (CENTRO DE DIAGNOSTICO Y AUDIO PROTESIS);CENTRO DE AUDIO PROTESIS Y DIAGNÓSTICO;Av. 16 De Julio N° 1479 Edificio: San Pablo Piso: Mezzanine Oficina: 102 Zona: Central;La Paz;No disponible;No Disponible;No Disponible;
443;AUDIO IMAGEN;COMERCIO, MANTENIMIENTO Y REPARACION DE MAQUINARIA Y EQUIPO, APARATOS DE RADIO, TV, TELÉFONOS(TECNICO INDUSTRIAL, TÉCNICO EN ELECTRÓNICA);Z. Centro C. Juan de la Riva Nª 1442;La Paz;Paola Alcócer;No Disponible;No Disponible;
444;AUDISEM CONSULTORIA EMPRESARIAL;CONSULTORIAS PRIVADAS PÚBLICAS MULTIDICIPLINARIAS;Av. Mariscal Santa Cruz No. 1364 Edificio La Primera Piso 18 Torre A Oficina 4;La Paz;No brinda esta información;No brinda esta información;www.audisem.com;
445;AUDISEM S.R.L.;NO IDENTIFICADO EL TIPO;C. Montevideo Nº. 109, Edificio Eliana, Planta Baja, Of. 4 (entre calle Capitán Ravelo y Av. Arce);La Paz;Pablo Deyby Canaviri Maydana;No Brinda Información;http://www.audisem.com/;
446;AUDITA CONSULTING S.R.L.;CONSULTORIAS PRIVADAS PÚBLICAS MULTIDICIPLINARIAS;Av. Sanchez Lima 2600 Ed.Tango P.5;La Paz;Edgar Tapia Terrazas;no brinda esta información;no brinda esta información;
447;AUDITORES CONSULTORES ZABALA S.R.L.;ACTIVIDADES EMPRESARIALES, Y FINANCIERAS (MARKETIN, SECRETARIALES, DE PERSONAL, JURÍDICAS, CONTABLES, DE IMPUESTOS, GESTIÓN, ASESORAMIENTO, PUBLICIDAD);Z. Central Av. Mariscal Santa Cruz N°. 1392 Ed. Camara Nacional De Comercio P. 10 Of. 1005;La Paz;No disponible;audiconzabalasociados@hotmail.com;No Disponible;
448;AUDITORIA Y CONTABILIDAD;CONTABILIDAD ESPECIALIZADA;Av. Ismael Montes of. 202 Nº 613;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
449;AULA DE APOYO PSICOPEDAGOGICO;LIDERAZGO, AUTOESTIMA Y MENTALIDAD GANADORA;Z. San Pedro C. 20 de Octubre Nº. 2016;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
450;AURIOSS;ACTIVIDADES DE EDICIÓN E IMPRESIÓN Y DE REPRODUCCIÓN DE GRABACIONES (LIBROS, FOLLETOS PERIÓDICOS) Y ACTIVIDADES RELACIONADAS;C. Yanacocha Ed. Arco Iris PB. Of. 5;La Paz;;aurioss9@gmail.com;;
451;AUTO CORP S.R.L.;COMERCIALIZACIÓN, MANTENIMIENTO Y REPARACIÓN DE MONTACARGAS;Plaza Isabel La Católica Nº. 2479 San Jorge;La Paz;Alejandra Mendoza;no Disponible;no Disponible;
452;AUTO MUELLES MATIAS;VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);Av. Entre Rios # 1809 Zona Alto Tejar;La Paz;No Disponible;No Disponible;No Disponible;
453;AUTO PARTES EUROPEO;VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);C. Boquerón Nº. 1355;La Paz;Javier Vidaurre C. ;europeo@entelnet.bo;Sitio Web No disponible;
454;AUTO PARTES MANA;VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);Av. Jaimes Freyre Nº. 1152;La Paz;No brinda este dato;mana@hotamil.com;Sitio Web No disponible;
455;AUTO PARTES TAURO;VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);Av. Jaimes Freyre y Av. Buenos Aires Nº. 2248;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
456;AUTO VENTA ROMERO MOTORS S.R.L.;VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);Z. San Miguel, Av. Montenegro Nº. 1012;La Paz;Efrain Fernando Romero Velarde;romero_motor@hotmail.com;www.romero-motor.web.bo;
457;AUTOCON;VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);C. Nicolas Acosta Nº. 555A Z.San Pedro;La Paz;Willy Chambi Quispe;No Disponible;No Disponible;
458;"AUTOESCUELA ""SAN MARINO""";"TRANSPORTE POR VÍA TERRESTRE; (CONDUCCIÓN - CHOFERES), DE CARGAS A NIVEL NACIONAL E INTERNACIONAL";Z. Cotahuma, Av. Buenos Aires N°.1992;La Paz;No brinda este dato;No brinda este dato;No brinda este dato;
459;"AUTOESCUELA ""Z"" CETA";"TRANSPORTE POR VÍA TERRESTRE; (CONDUCCIÓN - CHOFERES), DE CARGAS A NIVEL NACIONAL E INTERNACIONAL";Z. San Pedro, Av. Cañada Strongest Esq. Otero de la Vega Nº. 1620;La Paz;Victor Hugo Escobari Jimenini;ceta_lp@hotmail.com;Pagina web no disponible;
460;AUTOESCUELA DEL SUR;"TRANSPORTE POR VÍA TERRESTRE; (CONDUCCIÓN - CHOFERES), DE CARGAS A NIVEL NACIONAL E INTERNACIONAL";Av. Ballvian Nº. 813 entre C. 14 y C.15 Ed. MOLINO Local 4;La Paz;no brinda esta informacón;no brinda esta información;no brinda esta información;
461;AUTOESCUELA LA PAZ;"TRANSPORTE POR VÍA TERRESTRE; (CONDUCCIÓN - CHOFERES), DE CARGAS A NIVEL NACIONAL E INTERNACIONAL";Av. Simón Bolivar Nº.1986;La Paz;Raul Zapana;autoescuelalapaz@gmail.com;no brinda esta informacion;
462;AUTOJAP;VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);C. Entre Rios Callejon Rio Abuna Nº. 1991;La Paz;Carlos Apaza;No brinda este dato;Página Web no diponible;
463;AUTOMANIA;VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);Av. Landaeta y Av. Buenos Aires Z. Jaimes Freyre Nº. 887;La Paz;Omar Chambi;No brinda este dato;Página Web no disponible;
464;AUTOMOTIVOS CONDOR;VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);Av. Entre Rios # 1070 Zona Alto Tejar;La Paz;IVAN CONDORI;No Disponible;No Disponible;
465;AUTOMOTIVOS GABRIEL;VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);Av. Entre Rios # 1801 Zona Alto Tejar;La Paz;No brinda información;No brinda información;No brinda información;
466;AUTOMOTIVOS GONZALES;DISTRIBUCION, IMPORTACIÓN, VENTAS DE DIFERENTES PRODUCTOS, MATERIA PRIMA PARA DIFERENTES EMPRESAS;Z.Miraflores,Av. Saavedra #1291;La Paz;Reynaldo Gonzales;No brinda este dato;No brinda este dato;
467;AUTOMOTIVOS J,R;VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);Z. San Pedro C. Zoilo Flores Nº. 1339;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
468;AUTOMOTIVOS PERN-ACSE;DISTRIBUCION, IMPORTACIÓN, VENTAS DE DIFERENTES PRODUCTOS, MATERIA PRIMA PARA DIFERENTES EMPRESAS;Av. Entre Rios #1950;La Paz;Elsa Conde Espinoza;no brinda esta informacion;no brinda esta informacion;
469;"AUTOMOTIVOS VILADEGUT ""AUTOVIL"" LTDA.";COMERCIALIZACIÓN, MANTENIMIENTO Y REPARACIÓN DE MONTACARGAS;C. Nicolas Acosta Nº. 415 Z. San pedro;La Paz;Gonzalo Mauricio Viladegut R.;no disponible;No Disponible;
470;AUTOPARABRISAS V8R;COMERCIALIZACIÓN DE ADESIVOS PARA LA INDUSTRIA EN GENERAL, PINTURAS ARQUITECTÓNICAS, SOLVENTES Y QUÍMICOS EN GENERAL, ETC;Av. Bush #1296 (Monumento hacia arriba);La Paz;Luis Vargas Q.;luisvargas@hotmail.com;no brinda esta informacion;
471;AUTOPARTE JHONNY;FABRICACIÓN DE PROD.DE METAL(METALMECÁNICA), EXC. MAQ/ EQUIPO, LAMINADO Y ESTAMPADO (TANQUES, DEPOSITOS, CUCHILLERIA, ELEMENTOS DE FERRETERIA);Zona :La Portada Nº 1520 Av. :Entre Rios;La Paz;76510781;;;
472;AUTOPARTE TITAN;VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);Z. San Pedro C. Zoilo Flores Nº. 1339;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
473;AUTOPARTES ANDINO;VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);Av. Entre Rios # 1845 Zona Alto Tejar;La Paz;No brinda información;No brinda información;No brinda información;
474;AUTOPARTES MUNDIAL;COMERCIALIZACIÓN, MANTENIMIENTO Y REPARACIÓN DE MONTACARGAS;Av. 6 de marzo, 88 entre calles 7 y 8 - El Alto - La Paz;La Paz;Fidel Huanca Fernandez;autopartes@mundial.com.bo;www.autopartesmundial.com;
475;AUTOPARTES SAN ANDRES;DISTRIBUCION, IMPORTACIÓN, VENTAS DE DIFERENTES PRODUCTOS, MATERIA PRIMA PARA DIFERENTES EMPRESAS;Av. Entre Rios #2012;La Paz;Inez Lazo;no brinda esta informacion;no brinda esta informacion;
476;AUTOREPUESTOS;VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);Av. Entre Rios # 1508 Zona Bajo Tejar;La Paz;No Disponible;No Disponible;No Disponible;
477;AUTOREPUESTOS;VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);Z. San Pedro C. Nicolas Acosta Nª 595;La Paz;Villma Calustre;No Disponible;No Disponible;
478;"AUTOREPUESTOS ""VENEGAS""";VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);Z. San Pedro C. Nicolas Acosta;La Paz;Jorge Venegas;No Disponible;No Disponible;
479;AUTOREPUESTOS ACUARIO;VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);Av. Entre Rios # s/n Zona Alto Mariscal Santa Cruz;La Paz;No brinda información;No brinda información;No brinda información;
480;AUTORREPUESTOS LUCHO;VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);Calle Landaeta. Nro. 1081 Zona Tembladerani;La Paz;No brinda información;No brinda información;No brinda información;
481;AUTOS & ESTILO;VENTA, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS (MECÁNICA AUTOMOTRIZ);C.18, Av. Ballivian Nº. 1087;La Paz;Mario Pope;autosyestilo@entelnet.bo;www.autosyestilo.com.bo;
482;AUTOSUD;ACTIVIDADES EMPRESARIALES, Y FINANCIERAS (MARKETIN, SECRETARIALES, DE PERSONAL, JURÍDICAS, CONTABLES, DE IMPUESTOS, GESTIÓN, ASESORAMIENTO, PUBLICIDAD);Av Bush #2261 (Parque Trinagular);La Paz;Angela Tito;autosud@autosud.com;www.autosud.com;
483;AV. CONSULT BOLIVIA;ASESORAMIENTO EN EXPORTACIONES;C.21 N°. 8350 Ed. Monrroy Velez P. 9 Of. 3 Calacoto;La Paz;Alejandro Vera Casso;vera@av-consult.net;www.avconsult.net/bolivia;
484;AVACRIL;ACTIVIDADES DE ASOCIACIONES;Av. Entre Rios Nº 1662 Esq. Reyes Cardona;La Paz;Pamela Quisberth.;avacril1@hotmail.com;Sitio Web No disponible;
485;AVC (AVINCHEZ VENTAS Y COMERCIALIZACION);ELABORACIÓN DE PRODUCTOS ALIMENTICIOS, REPOSTERIA, PANADERIA, PASTELERIA Y BEBIDAS;Z. Miraflores C. Geronimo De Soria Ed. El Parque P. 1 N°. 1341 Of. 01;La Paz;No Disponible;avinchez@hotmail.com;No Disponible;
486;AVILUZ;FABRICACIÓN DE PROD.DE METAL(METALMECÁNICA), EXC. MAQ/ EQUIPO, LAMINADO Y ESTAMPADO (TANQUES, DEPOSITOS, CUCHILLERIA, ELEMENTOS DE FERRETERIA);Z.Central C. Santa Cruz Nº 495;La Paz;No brinda este dato;No brinda este dato;Página Web;
487;AWAY TEXTILES(Producción de Prendas de Alpaca);FABRICACIÓN DE PRODUCTOS TEXTILES, TEJIDOS Y ARTICULOS DE PUNTO Y GANCHILLO;Z. Central C. Sagarnaga esq. Murillo Galeria Comercial Doryan Local 1 Nº. 189;La Paz;Sonia Gutierrez Apaza;No disponible;www.awaytextiles.com;
488;AXEL (GAS);"TRANSPORTE POR VÍA TERRESTRE; (CONDUCCIÓN - CHOFERES), DE CARGAS A NIVEL NACIONAL E INTERNACIONAL";Z. Desaguadero Av. Jesus De Machaca N°. S/n;La Paz;No Disponible;axeltrans@hotmail.com;No Disponible;
489;AXES COMMUNICATIONS BOLIVIA S.A.;CORREO Y TELECOMUNICACIONES;C. 18 Nº 1179, Esq. Julio Patiño;La Paz;Florencia Gomez - Gerente de Marketing;axes.bolivia@aes.com;www.axescbo.com;
490;AXES CORPORACION TECNOLOGICA;COMERCIALIZACIÓN DE EQUIPOS DE COMPUTACIÓN E INSUMOS;Zona:Central Pedro Salazar Nº 348;La Paz;;info@axesbolivia.com;www.axesbolivia.com;
491;AXIAL (CONSULTORIA Y CONSTRUCCION);INGENIEROS (CONTRUCCIÓN DE INFRAESTRUCTURA VIAL PÚBLICA Y PRIVADA);Z. Barrio Minero Av. Rodolfo Palenque N°. 2;La Paz;No Disponible;axialcon@yahoo.es;No Disponible;
492;AXTEX;COMERCIALIZACIÓN DE EQUIPOS DE COMPUTACIÓN E INSUMOS;Eloy Salmon Galeria Anita of. 6 Nº 898;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
493;AYAME S.R.L.;COMERCIO EN PAPELERIA CON DIVISIONES DE: FORMULARIOS CONTINUOS, VALORES DE SEGURIDAD, IMPRENTA PRIMA;Av. 6 Agosto, F. Guachalla Ed. Alianza local Z. Sopocachi;La Paz;Hern n Osamu Kimura K.;no disponible;no disponible;
494;AYASHIC S.R.L.(MARKETING Y PROMOCION);ACTIVIDADES EMPRESARIALES, Y FINANCIERAS (MARKETIN, SECRETARIALES, DE PERSONAL, JURÍDICAS, CONTABLES, DE IMPUESTOS, GESTIÓN, ASESORAMIENTO, PUBLICIDAD);Z. Central Av. Montes Ed. Giovani De Col N°. 768 P. 3 Of. 301;La Paz;No Disponible;No Disponible;No Disponible;
495;AYM - VENTA DE COSMETICOS;PELUQUERIA, PEINADOS Y COSMETOLOGIA;Calle Mercado N°1078;La Paz;No Brinda Información;No Brinda Información;No Brinda Información;
496;AYNI SUMA AMPARA;FABRICACIÓN DE PRODUCTOS TEXTILES, TEJIDOS Y ARTICULOS DE PUNTO Y GANCHILLO;Tembladerani Jaimes Freyre;La Paz;Paula Morgoya;No brinda este dato;Página Web no disponible;
497;AYNI SUMA AMPARA;FABRICACIÓN DE PRODUCTOS TEXTILES, TEJIDOS Y ARTICULOS DE PUNTO Y GANCHILLO;Tembladerani Jaimes Freyre;La Paz;Paula Morgoya;No brinda este dato;Página Web no disponible;
498;AYNOHA JOYAS(IMPORTACION Y EXPORTACION);"FABRICACIÓN DE MUEBLES DE HOGAR,OFICINA, DE MADERA ,COLCHONES ;OTRAS IND. MANUF. (JOYAS, INSTRUMENTOS MUSICALES, JUEGOS Y JUGUETES)";Z. Calacoto C. Sanchez Bustamante N°. 1035;La Paz;No Disponible;No Disponible;No Disponible;
499;AYZEN SERVICE(INSTALACION DE GAS NATURAL EN REDES);"TRANSPORTE POR VÍA TERRESTRE; (CONDUCCIÓN - CHOFERES), DE CARGAS A NIVEL NACIONAL E INTERNACIONAL";Z. Villa Fatima C. Caranavi Ed. Austral N°. 1311 P. 2 Of. 2;La Paz;No Disponible;No Disponible;No Disponible;
500;AZERO COMPUTER Y MERCURIO;COMERCIALIZACIÓN DE EQUIPOS DE COMPUTACIÓN E INSUMOS;Eloy Salmon edif. Electrocolor Center of. 17 Nº 960;La Paz;No brinda este dato;azero7@com;Página Web no disponible;
501;AZTLAN TOURS(CASA DE CAMBIOS Y TURISMO);ACTIVIDADES FINANCIERA, BOLSAS DE VALORES, CASAS DE CAMBIO;"Z. Miraflores C. Pasoskanki Esq. Brazil Ed. Pasoskanki N°. 1611 P. 6 Of.6 ""b""";La Paz;No Disponible;jenny_malaga@hotmail.com;No Disponible;
502;AZUL.COM;COMERCIALIZACIÓN DE EQUIPOS DE COMPUTACIÓN E INSUMOS;Z. Callampaya C. Huyustus No. 1063;La Paz;No brinda este dato;No brinda este dato;Página Web no disponible;
503;B.A.P. S.R.L.;INGENIEROS (CONTRUCCIÓN DE INFRAESTRUCTURA VIAL PÚBLICA Y PRIVADA);C. Federico Prudencio Nº. 1249 - Ed. CUMORAH PB Of. 102;La Paz;Javier Antonio Molina Sanchez;javier.molina@bap.com.bo;www.bap.com.bo;
504;B.C.T. S.R.L.(ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER);ALQUILER DE MAQUINARIA Y EQUIPO SIN OPERARIOS Y DE EFECTOS PERSONALES Y ENSERES DOMÉSTICOS;Z. Obrajes Av. Ormachea N°. 4846 P. 5;La Paz;No Disponible;henrry-aq@hotmail.com;No Disponible;
505;B.I.G (BROKERAGE INTERNATIONAL GROUP S.R.L.);IMPORTACION, EXPORTACION O FABRICACIÓN DE SUSTANCIAS Y PRODUCTOS QUIMICOS (PESTICIDAS, PINTURAS, BARNICES,PROD. FARMACEUTICOS, COSMÉTICOS, JABONES, DETERGENTES, PERFUMES);Z. Sopocachi Av. 6 De Agosto Ed. Gosalvez N°. 502 P. 1 Of. 101;La Paz;No Disponible;No Disponible;No Disponible;
506;BABY TOIS;NO IDENTIFICADO EL TIPO;Zona:Central Calle: Mercado Ed. America Nº 1335 (101);La Paz;70644484;ossio2@hotmail.com;www.babyandtoys.net;
507;BAGÓ S.A;IMPORTACIÓN DE ARTÍCULOS CLÍNICOS;C. Muñoz Cornejo Esq. Vincenti Nº. 2808;La Paz;Carla Echavarría;bolivia@bago.com.bo;www.bago.com.bo;
508;BAGU;VENTA DE MATERIAL DE ESCRITORIO, LIBROS, PAPELERIA Y BAZAR;Av. Jose Aguirre Acha Zona Los Pinos;La Paz;No brinda información;jeep_cherokee54@hotmail.com;No brinda información;
509;BAHIA TRAVEL S. R. L.;"ACTIVIDADES COMPLEMENTARIAS Y AUXILIARES AL TRANSPORTE; ACTIVIDADES DE AGENCIAS DE VIAJES, GUIAS DE TURÍSMO, ADMINSITRACIÓN TURÍSTICA)";C. Federico Zuazo Nº. 1885 Ed. Alcazar PB.;La Paz;Marisol Charcas;bahiamercedes@hotmail.com;Sitio Web No disponible;
510;BAHIA TRAVEL S.R.L.;TRANSPORTE MULTIMODAL;C. Federico Zuazo Nº. 1885 Of. 14;La Paz;Jack Avila Vermeer;no brinda información;no brinda información;
511;BALA S.R.L.;NO IDENTIFICADO EL TIPO;no brinda informacion;La Paz;Pablo Israel Landivar Banegas;no brinda información;no brinda información;
512;BALLIVIAN ASOCIADOS LTDA.;FABRICACIÓN Y COMERCIALIZACION DE PRENDAS DE VESTIR, PREPARADO Y TEÑIDO DE PIELES, Y ARTICULOS DE PIELCUERO;C. Alto de la Alianza Nº. 754;La Paz;Carlos A. Ballivian S.M.;cusabol@ceibo.entelnet.bo;ballivianasociados.com;
513;BALLIVIAN ASOCIADOS LTDA.;FABRICACIÓN Y COMERCIALIZACION DE PRENDAS DE VESTIR, PREPARADO Y TEÑIDO DE PIELES, Y ARTICULOS DE PIELCUERO;C. Alto de la Alianza Nº. 754;La Paz;Mario Huasco;cusabol@ceibo.entelnet .bo;www.ballivianasociados.com;
514;BALLON PRADO, MIGUEL ANGEL ESTUDIO JURIDICO;ACTIVIDADES EMPRESARIALES, Y FINANCIERAS (MARKETIN, SECRETARIALES, DE PERSONAL, JURÍDICAS, CONTABLES, DE IMPUESTOS, GESTIÓN, ASESORAMIENTO, PUBLICIDAD);C. Reyes Ortiz Ed. Torres Gundlach, Oeste P.6 Of. 603, ;La Paz;Miguel Angel Ballón Prado;miguel_ballonprado@hotmail.com;Sitio Web No disponible;
515;BALTAZAR GAS;FABRICACIÓN DE CALEGONES A GAS Y ELÉCTRICOS, EQUIPOS SERVICIOS E INSTALACIONES;Z. Villa Tejada Triangular C. /3 N°. 222;La Paz;No Disponible;No Disponible;No Disponible;
516;BANABENI S.R.L.;TRANSPORTE MULTIMODAL;Av. Ladislao Cabrera Nº. 8260 carretera a Viacha;La Paz;Lurdes Quispe;banabenisrl@hotmail.com;no brinda esta información;
517;BANCO BISA LEASING;ACTIVIDADES FINANCIERA, BOLSAS DE VALORES, CASAS DE CAMBIO;Dirección: Av. 20 de Octubre Esq. Campos, Edificio Torre Azul Nº. 2665 Piso 4 Z. Sopocach;La Paz;No brinda Informacion;jfiori@grupobisa.com;www.bisaleasing.com;
